,Depression Label { 0-Non Depressive 1-Depressive},Text Content
,0,"???????

????? ??? ??
?? ????? ???.
???? ???? ??

?????? ?? ??? ???

???? ??????
"
,0,"?? ?? ????
? ?????
"
,0,"??? ????? ??, ?? ""??? ???""
???? ?????? ???? ???
???? ?????? ?? ??, ?? ???
??? ???? ?????? ??? ????
?? ????? ?? ????? ??, ?? ???
???? ??? ????? ?? ??? ??
?? ?? ??? ???? ?? ??? ????
?? ????? ???? ??, ?? ?? ??
??????? ??? ?? ????? ??
?? ?? ??????? ?? ???????
????? ????? ??
"
,0,"????? ?????? ????
?? ?? ?? ???
??

???

 
 

???? ???????? ??
?? ??? ??????? ????? ???

?? ?? ????..
?????? ?????
"
,0,"? ????

? ???? ?? ???

? ??? ???? ????? ?
? . ??? ??
' ???? ?? ???

?? ??? ??? ?????

| / ? ???? ???

? ?? ?? ??? ????? ??.
????

 

??? ??????

$ ??. ???? ???,?

 
"
,0,"????? ?? ????? ?? ???
?? ???? ???? ????? ??
???? ??? ????

???? ????. .

|??????09???
"
,0,"??? ?? ??? ??
??? ???? ????? ??

??? ?? ?? ??

?????? ?? ??? ?? ????? ?? ""???
?????? ?? ????? ?? ?????;

?????? ?? ??? ???? ?????
?? ?????
?? ?? ?? ????, ? ????? ??
????????;

????? ?? ?????? ??

???? ?? ??? ?? ?????
"
,0,"?? ???????? ??? ?? ???????? ????-?? ??
??? ??? ??? ???? ??? ?? ???? ??? ??
"
,0,"???? ??? ?????? ?? ?? ??? ????? ?? ???

????
?? ???? ??? ???? ????? ?? ??? ?????

 
"
,0,"?? ???? ?? ???? ???? ???? ????,

???? ????? ?? ????? ?? ???? ?? ???????
"
,0,"    

??? ???? ?? ?????.....!!

??? ??? ???? ??????? ?????..
????? ?? ??? ?? ???..

??? ? ??? ????????
??? ????? ????????....!!
"
,0,"?? ??????? ?? ???? ?????
?

???? ?????? ?? ???? ??? ???
???? ?????
"
,0,"?? ?? ??? ??, ?? ??? ? ???
???? ???? ??? ??? ??????
"
,0,"?? ??? ?? ??? ??? ??
?? ???? ??
.... ?? ?? ???? ???? ??? ??
?? ?????? ??

??

 
"
,0,"?? ??????? ?? ??????
??? ??? ???? ?? ???,

?? ???????? ???? ???..
?? ?? ??? ???? ??? ?
"
